;Наименование;Сечение;Сортамент;"Размеры, мм";"Масса одной конструкции, кг";"Общая масса, кг";"U, мм";"U box, мм";"A, мм² ";"tred, мм";"tred box, мм";"A/V, мˉ¹";"A/V box, мˉ¹";"L, м";"Количество, шт";"Площадь обработки одной конструкции по контуру, м²";"Площадь обработки всех конструкций по контуру, м²";"Площадь обработки одной конструкции для коробчатой облицовки, м²";"Площадь обработки всех конструкций для коробчатой облицовки, м²";"I см 4";"W см³";"Wpl см³";"Моменты сопротивления для расчета";"S см³";Материал;"ρ, кг/м³";"R, МПа";"E, МПа";"Зависимость σ и E от температуры ";"Вид нагружения";θcr,°С;"R0, мин";"Требуемый предел огнестойкости конструкции, мин";"Толщина огнезащитного материала, мм ";"Потери, %";"Расход на м², кг/м²";"Расход на метр пог, кг/м п ";"Расход на тонну конструкции, кг/т";"Количество огнезащитного материала на одну конструкцию, кг или м²";
;"Двутавр №40 25Y";Двутавр;"40 ГОСТ 8239-89";"b=155,00  h=400,00  tw=8,30  tf=13,00";10258,38;41033,52;1403,40;1110,00;7260,00;5,17;6,54;193,31;152,89;180,00;4,00;252,612;1010,448;199,800;799,200;"Ix=19062,0; Iy=667,0";"Wx=953,0; Wy=86,1";"Wplx=1053,1; Wply=126,6";"пластические Wplx(y)";"Sx=546,2; Sy=75,0";С345;7850,00;"Rуп=325,00; Rу=13,00";206000,00;"σ 0.2%  и  E по данным СССР";"Назначенная критическая температура";800,00;25,23;15;0,00;5,00;0,000;0,000;0,00;0,000;
;"Двутавр №20 (прогоны)";Двутавр;"20 ГОСТ 8239-89";"b=100,00  h=200,00  tw=5,20  tf=8,40";4628,36;18513,44;789,60;600,00;2680,00;3,39;4,47;294,63;223,88;220,00;4,00;173,712;694,848;132,000;528,000;"Ix=1840,0; Iy=115,0";"Wx=184,0; Wy=23,1";"Wplx=199,1; Wply=34,0";"пластические Wplx(y)";"Sx=104,4; Sy=19,9";С345;7850,00;"Rуп=345,00; Rу=13,80";206000,00;"σ 0.2%  и  E по данным СССР";"Назначенная критическая температура";800,00;24,28;15;0,00;5,00;0,000;0,000;0,00;0,000;
;"Двутавр №20 (столбы)";Двутавр;"20 ГОСТ 8239-89";"b=100,00  h=200,00  tw=5,20  tf=8,40";1514,74;12117,89;789,60;600,00;2680,00;3,39;4,47;294,63;223,88;72,00;8,00;56,851;454,810;43,200;345,600;"Ix=1840,0; Iy=115,0";"Wx=184,0; Wy=23,1";"Wplx=199,1; Wply=34,0";"пластические Wplx(y)";"Sx=104,4; Sy=19,9";С345;7850,00;"Rуп=345,00; Rу=13,80";206000,00;"σ 0.2%  и  E по данным СССР";"Назначенная критическая температура";800,00;24,28;15;0,00;5,00;0,000;0,000;0,00;0,000;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Стальные конструкции. Общая площадь обработки по контуру, м²";2160,106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Стальные конструкции Общая площадь обработки для коробчатой облицовки, м²";1672,800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Стальные конструкции. Огнезащита";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Огнезащитный материал";"Площадь обработки, м²";Количество;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
